image_name,target
ISIC_0052060,0.9171384
ISIC_0052349,0.98731065
ISIC_0058510,0.98751754
ISIC_0073313,0.9903956
ISIC_0073502,0.4251322
ISIC_0074618,0.9855344
ISIC_0076801,0.97612405
ISIC_0077586,0.49666864
ISIC_0082004,0.45842716
ISIC_0082785,0.9933629
ISIC_0085332,0.93088305
ISIC_0087243,0.82057524
ISIC_0088167,0.36067432
ISIC_0089356,0.9934144
ISIC_0090283,0.4396233
ISIC_0092481,0.978789
ISIC_0095455,0.9674508
ISIC_0095790,0.98747265
ISIC_0097719,0.98993266
ISIC_0099348,0.9960741
ISIC_0101040,0.5529315
ISIC_0101383,0.97816235
ISIC_0105104,0.39150676
ISIC_0108196,0.9489882
ISIC_0112420,0.96120137
ISIC_0114232,0.9842293
ISIC_0115798,0.9872169
ISIC_0116844,0.9868859
ISIC_0126432,0.8536083
ISIC_0131485,0.9689334
ISIC_0131912,0.9646408
ISIC_0131978,0.9859139
ISIC_0139322,0.56299055
ISIC_0142066,0.36528653
ISIC_0143109,0.3484323
ISIC_0148210,0.9860736
ISIC_0148937,0.99288815
ISIC_0150213,0.41604817
ISIC_0152553,0.91899484
ISIC_0153127,0.97228795
ISIC_0154289,0.98199373
ISIC_0155813,0.9980399
ISIC_0155983,0.98158133
ISIC_0157088,0.89232606
ISIC_0158761,0.9674289
ISIC_0161963,0.3659245
ISIC_0165178,0.97184616
ISIC_0165230,0.99283314
ISIC_0165615,0.99196714
ISIC_0165617,0.9749501
ISIC_0165674,0.9905061
ISIC_0165928,0.9912776
ISIC_0166561,0.9805203
ISIC_0168125,0.97687066
ISIC_0169378,0.9911506
ISIC_0169575,0.9909809
ISIC_0169906,0.98838705
ISIC_0171865,0.98467124
ISIC_0172678,0.9822511
ISIC_0174800,0.9823476
ISIC_0175014,0.98682505
ISIC_0175798,0.99722385
ISIC_0176152,0.9679804
ISIC_0177083,0.9912478
ISIC_0178235,0.98555285
ISIC_0178258,0.97795504
ISIC_0178428,0.9978004
ISIC_0178741,0.99769765
ISIC_0180057,0.9896561
ISIC_0182213,0.9973832
ISIC_0183334,0.9927182
ISIC_0183449,0.99060553
ISIC_0183658,0.9687574
ISIC_0183771,0.91109526
ISIC_0186715,0.99689215
ISIC_0187786,0.9606424
ISIC_0188485,0.94681346
ISIC_0191895,0.96424127
ISIC_0192184,0.9818263
ISIC_0192807,0.9852771
ISIC_0193289,0.98635143
ISIC_0194115,0.99103594
ISIC_0195744,0.976819
ISIC_0195995,0.9282473
ISIC_0196159,0.98474807
ISIC_0196622,0.887355
ISIC_0196807,0.46681532
ISIC_0197182,0.43837136
ISIC_0197440,0.4886531
ISIC_0197860,0.9793296
ISIC_0198376,0.98427665
ISIC_0198622,0.98307425
ISIC_0199195,0.9745789
ISIC_0199718,0.97150964
ISIC_0199780,0.9870236
ISIC_0200120,0.9905399
