image_name,target
ISIC_0052060,0.21993685
ISIC_0052349,0.4895659
ISIC_0058510,0.49147284
ISIC_0073313,0.41810948
ISIC_0073502,0.18389037
ISIC_0074618,0.4388043
ISIC_0076801,0.46668476
ISIC_0077586,0.32119137
ISIC_0082004,0.3861795
ISIC_0082785,0.7369008
ISIC_0085332,0.26106626
ISIC_0087243,0.32196122
ISIC_0088167,0.25029948
ISIC_0089356,0.5664463
ISIC_0090283,0.25575843
ISIC_0092481,0.27947804
ISIC_0095455,0.50280744
ISIC_0095790,0.300452
ISIC_0097719,0.29528993
ISIC_0099348,0.41632396
ISIC_0101040,0.27048606
ISIC_0101383,0.42029434
ISIC_0105104,0.6890332
ISIC_0108196,0.3055417
ISIC_0112420,0.5969722
ISIC_0114232,0.30210572
ISIC_0115798,0.30992374
ISIC_0116844,0.3733703
ISIC_0126432,0.39922845
ISIC_0131485,0.44500482
ISIC_0131912,0.4508375
ISIC_0131978,0.31646812
ISIC_0139322,0.42137572
ISIC_0142066,0.42291492
ISIC_0143109,0.5363375
ISIC_0148210,0.44505885
ISIC_0148937,0.42133212
ISIC_0150213,0.6139925
ISIC_0152553,0.5449648
ISIC_0153127,0.4323023
ISIC_0154289,0.5679769
ISIC_0155813,0.6037586
ISIC_0155983,0.62585866
ISIC_0157088,0.21147043
ISIC_0158761,0.37059867
ISIC_0161963,0.32231432
ISIC_0165178,0.4398268
ISIC_0165230,0.25168535
ISIC_0165615,0.35461444
ISIC_0165617,0.5072297
ISIC_0165674,0.36634758
ISIC_0165928,0.47280145
ISIC_0166561,0.52922773
ISIC_0168125,0.4513997
ISIC_0169378,0.24062492
ISIC_0169575,0.2939431
ISIC_0169906,0.6191404
ISIC_0171865,0.31581518
ISIC_0172678,0.22402397
ISIC_0174800,0.5335269
ISIC_0175014,0.49094293
ISIC_0175798,0.28365573
ISIC_0176152,0.23977272
ISIC_0177083,0.239986
ISIC_0178235,0.19108434
ISIC_0178258,0.29833138
ISIC_0178428,0.3186166
ISIC_0178741,0.18477976
ISIC_0180057,0.052264236
ISIC_0182213,0.55246145
ISIC_0183334,0.5647726
ISIC_0183449,0.39714313
ISIC_0183658,0.5621919
ISIC_0183771,0.2952232
ISIC_0186715,0.5834899
ISIC_0187786,0.35309708
ISIC_0188485,0.21317907
ISIC_0191895,0.37585476
ISIC_0192184,0.32579902
ISIC_0192807,0.37198913
ISIC_0193289,0.2736088
ISIC_0194115,0.33896095
ISIC_0195744,0.38480163
ISIC_0195995,0.4229937
ISIC_0196159,0.5073494
ISIC_0196622,0.54397094
ISIC_0196807,0.40911067
ISIC_0197182,0.41300073
ISIC_0197440,0.5783393
ISIC_0197860,0.2926557
ISIC_0198376,0.4888087
ISIC_0198622,0.40745997
ISIC_0199195,0.1674
ISIC_0199718,0.2854837
ISIC_0199780,0.41041222
ISIC_0200120,0.4862036
ISIC_0204399,0.40583602
ISIC_0204875,0.4281135
ISIC_0205627,0.398813
ISIC_0206261,0.6070253
ISIC_0206934,0.46272576
ISIC_0207197,0.1868587
ISIC_0208233,0.45012188
ISIC_0209640,0.38379177
ISIC_0210915,0.35288823
ISIC_0212435,0.54704285
ISIC_0212468,0.38111106
ISIC_0213848,0.3583039
ISIC_0216203,0.3923475
ISIC_0216447,0.31440666
ISIC_0220438,0.14117049
ISIC_0220466,0.14748104
ISIC_0223354,0.3360134
ISIC_0223463,0.59299165
ISIC_0223760,0.3876247
ISIC_0224309,0.30695048
ISIC_0225471,0.27087757
ISIC_0225894,0.2407438
ISIC_0226234,0.17512582
ISIC_0227767,0.11335741
ISIC_0228452,0.49978247
ISIC_0229266,0.66053724
ISIC_0230247,0.3371371
ISIC_0230499,0.35847673
ISIC_0231539,0.5960761
ISIC_0231788,0.4114119
ISIC_0232763,0.422646
ISIC_0235107,0.29345486
ISIC_0235501,0.7812855
ISIC_0235505,0.3722207
ISIC_0235542,0.4190034
ISIC_0238185,0.3331188
ISIC_0238872,0.08555392
ISIC_0239635,0.50783163
ISIC_0240839,0.5935424
ISIC_0241566,0.53660613
ISIC_0243686,0.65655994
ISIC_0243937,0.36469284
ISIC_0244266,0.3693686
ISIC_0244465,0.36571115
ISIC_0244617,0.6855448
ISIC_0244885,0.3214339
ISIC_0245273,0.3975747
ISIC_0246008,0.44396862
ISIC_0246211,0.17848209
ISIC_0248702,0.37967366
ISIC_0251455,0.66347986
ISIC_0251656,0.39511234
ISIC_0252811,0.33293554
ISIC_0254594,0.4235338
ISIC_0255112,0.6365517
ISIC_0256267,0.2656608
ISIC_0258149,0.17931572
ISIC_0258489,0.29129952
ISIC_0258717,0.36641058
ISIC_0259209,0.37026852
ISIC_0259237,0.40661463
ISIC_0261866,0.36580524
ISIC_0261904,0.19960795
ISIC_0261907,0.38513303
ISIC_0262392,0.27110106
ISIC_0262492,0.48319933
ISIC_0263920,0.27537182
ISIC_0265011,0.24833661
ISIC_0267082,0.5258247
ISIC_0268025,0.2965826
ISIC_0268451,0.51691526
ISIC_0269476,0.17644964
ISIC_0270022,0.49781573
ISIC_0270367,0.40605456
ISIC_0271223,0.258163
ISIC_0272190,0.43094206
ISIC_0273533,0.23784164
ISIC_0274458,0.56954193
ISIC_0274698,0.5846356
ISIC_0274789,0.5514789
ISIC_0276718,0.25423703
ISIC_0280382,0.32435432
ISIC_0280752,0.4740902
ISIC_0280782,0.26995853
ISIC_0280827,0.2483042
ISIC_0281227,0.4211163
ISIC_0282269,0.3003616
ISIC_0282486,0.1515421
ISIC_0282737,0.46826062
ISIC_0284147,0.44732916
ISIC_0284441,0.23784655
ISIC_0284485,0.52115405
ISIC_0285491,0.5726342
ISIC_0285697,0.47734147
ISIC_0286688,0.5471201
ISIC_0287132,0.45847467
ISIC_0287325,0.46618804
ISIC_0288225,0.4243999
ISIC_0290187,0.26938385
ISIC_0291705,0.39210552
ISIC_0292996,0.23875812
ISIC_0294150,0.28691757
ISIC_0296540,0.51128864
ISIC_0297539,0.4450613
ISIC_0297702,0.40103862
ISIC_0298417,0.24780835
ISIC_0299870,0.30881432
ISIC_0300002,0.74871147
ISIC_0301547,0.39476717
ISIC_0301769,0.3925787
ISIC_0304467,0.54475594
ISIC_0304666,0.2750041
ISIC_0304667,0.5707677
ISIC_0306094,0.24946073
ISIC_0307004,0.27354392
ISIC_0307411,0.21307942
ISIC_0309192,0.36741912
ISIC_0309503,0.6378093
ISIC_0310320,0.44959933
ISIC_0311235,0.47249764
ISIC_0311814,0.61198694
ISIC_0312717,0.5946281
ISIC_0313675,0.45145524
ISIC_0317285,0.6233363
ISIC_0318934,0.39665255
ISIC_0319131,0.37155107
ISIC_0319990,0.37781453
ISIC_0320662,0.5204191
ISIC_0321218,0.47965053
ISIC_0321906,0.37537053
ISIC_0321948,0.49145466
ISIC_0322514,0.515414
ISIC_0327756,0.12406668
ISIC_0328346,0.52705944
ISIC_0328687,0.34425244
ISIC_0328823,0.47689566
ISIC_0329169,0.40934244
ISIC_0329910,0.2790553
ISIC_0330060,0.4786561
ISIC_0330886,0.3260728
ISIC_0332421,0.51014876
ISIC_0332456,0.173932
ISIC_0334179,0.5927648
ISIC_0335244,0.2881796
ISIC_0335886,0.5586869
ISIC_0336093,0.24930824
ISIC_0338118,0.2968852
ISIC_0338587,0.3166511
ISIC_0339455,0.46788076
ISIC_0340198,0.3369295
ISIC_0340572,0.2504644
ISIC_0341315,0.08893381
ISIC_0343131,0.35352546
ISIC_0343283,0.3025256
ISIC_0346766,0.5507614
ISIC_0347157,0.35735
ISIC_0348342,0.5249887
ISIC_0350347,0.44284943
ISIC_0350470,0.36123595
ISIC_0351156,0.17012262
ISIC_0351912,0.27588752
ISIC_0352620,0.38867152
ISIC_0353021,0.37811038
ISIC_0355377,0.41100413
ISIC_0358260,0.432549
ISIC_0358623,0.43607685
ISIC_0359676,0.18860926
ISIC_0359720,0.6116303
ISIC_0361122,0.6006383
ISIC_0366488,0.67971396
ISIC_0367795,0.30651098
ISIC_0367988,0.2960771
ISIC_0368092,0.24380396
ISIC_0368696,0.7059355
ISIC_0369888,0.43174514
ISIC_0370322,0.402654
ISIC_0371470,0.4706998
ISIC_0371907,0.15524508
ISIC_0372927,0.41578248
ISIC_0372955,0.46487334
ISIC_0372971,0.24784686
ISIC_0373723,0.19618274
ISIC_0375431,0.2497793
ISIC_0377642,0.70757633
ISIC_0378391,0.64050996
ISIC_0378668,0.4250716
ISIC_0379549,0.48536995
ISIC_0380224,0.31973743
ISIC_0381595,0.5213651
ISIC_0382931,0.75813097
ISIC_0383641,0.103799775
ISIC_0383780,0.46115243
ISIC_0385415,0.3751866
ISIC_0385463,0.48520425
ISIC_0385865,0.4100747
ISIC_0388802,0.5731083
ISIC_0389010,0.2726709
ISIC_0389392,0.4856296
ISIC_0389675,0.40558672
ISIC_0390209,0.5671392
ISIC_0391046,0.50213194
ISIC_0391777,0.6838125
ISIC_0392680,0.30071202
ISIC_0392931,0.6492414
ISIC_0393891,0.21584627
ISIC_0394533,0.43653092
ISIC_0394763,0.44614872
ISIC_0394802,0.25434098
ISIC_0395681,0.37943685
ISIC_0395885,0.3526332
ISIC_0398134,0.42625934
ISIC_0400652,0.36677462
ISIC_0401679,0.3323694
ISIC_0403198,0.54119045
ISIC_0406137,0.28143537
ISIC_0407054,0.347851
ISIC_0407220,0.49528697
ISIC_0408372,0.4577747
ISIC_0408969,0.6057802
ISIC_0409388,0.28532785
ISIC_0410649,0.6370836
ISIC_0411243,0.50852764
ISIC_0414776,0.4588691
ISIC_0416431,0.2658086
ISIC_0416708,0.23166832
ISIC_0418978,0.35603315
ISIC_0419005,0.7586549
ISIC_0421107,0.35023913
ISIC_0424070,0.60176
ISIC_0426960,0.28776368
ISIC_0427371,0.26331782
ISIC_0429551,0.51997167
ISIC_0431350,0.39224863
ISIC_0431499,0.268366
ISIC_0431738,0.32955378
ISIC_0432133,0.48263913
ISIC_0432265,0.4489475
ISIC_0432894,0.29818156
ISIC_0433895,0.4177314
ISIC_0434253,0.30322245
ISIC_0434274,0.615696
ISIC_0434285,0.42892668
ISIC_0434890,0.39130628
ISIC_0434920,0.19274046
ISIC_0435283,0.26373363
ISIC_0435396,0.26747388
ISIC_0436298,0.22533105
ISIC_0436727,0.6193067
ISIC_0436779,0.37959927
ISIC_0436884,0.45467874
ISIC_0437081,0.31115502
ISIC_0437384,0.25313747
ISIC_0437987,0.20628671
ISIC_0438584,0.48621005
ISIC_0439475,0.32380548
ISIC_0441244,0.39634973
ISIC_0442293,0.2492638
ISIC_0442567,0.20686677
ISIC_0445097,0.2604657
ISIC_0446097,0.6233681
ISIC_0446287,0.42527327
ISIC_0446447,0.40211007
ISIC_0448691,0.64172673
ISIC_0450552,0.19951786
ISIC_0451155,0.30957222
ISIC_0451665,0.48612276
ISIC_0452297,0.43418145
ISIC_0453555,0.61072683
ISIC_0454124,0.03708007
ISIC_0454916,0.3214354
ISIC_0456176,0.6316947
ISIC_0456797,0.3851842
ISIC_0457344,0.48669353
ISIC_0457384,0.46404734
ISIC_0457494,0.35765344
ISIC_0457530,0.5799122
ISIC_0457688,0.29362816
ISIC_0459718,0.27321026
ISIC_0460023,0.3577843
ISIC_0460170,0.37598646
ISIC_0460323,0.29941204
ISIC_0461615,0.23307599
ISIC_0462037,0.3917029
ISIC_0462120,0.58900774
ISIC_0462327,0.49508464
ISIC_0462336,0.39161044
ISIC_0462792,0.42829973
ISIC_0463800,0.31584206
ISIC_0464417,0.41748217
ISIC_0465975,0.38408133
ISIC_0467617,0.39278457
ISIC_0468644,0.22698696
ISIC_0469457,0.20277573
ISIC_0470465,0.35875133
ISIC_0470699,0.71437603
ISIC_0473489,0.24444222
